,Date,Open,High,Low,Close,Volume,balance,percent,total_percent
0,2017-05-03,681.7,684.91,680.95,684.75,48125950.0,100000000,,
1,2017-05-04,684.8,688.75,683.44,685.35,64272820.0,100000000,0.08762322015334396,0.08762322015334396
2,2017-05-05,684.95,687.41,684.09,684.59,42196300.0,100000000,-0.11089224483840239,-0.023269024685058426
3,2017-05-08,683.15,684.17,681.06,681.32,56325240.0,100000000,-0.4776581603587522,-0.5009271850438106
4,2017-05-09,680.42,687.68,680.34,687.33,72567630.0,100000000,0.8821111959138129,0.3811840108700023
5,2017-05-10,689.07,695.66,689.07,690.44,55364010.0,100000000,0.4524755212197945,0.8336595320897968
6,2017-05-11,692.13,693.19,689.69,690.68,47138800.0,100000000,0.034760442616287496,0.8684199747060843
7,2017-05-12,691.46,693.85,690.29,690.81,43430540.0,100000000,0.01882203046273172,0.887242005168816
8,2017-05-15,691.33,696.86,691.33,695.42,48384980.0,100000000,0.6673325516422771,1.5545745568110931
9,2017-05-16,695.86,698.67,693.23,693.79,68027100.0,100000000,-0.23439072790543777,1.3201838289056553
10,2017-05-17,692.95,697.47,691.06,696.12,41713550.0,100000000,0.33583649231035917,1.6560203212160145
11,2017-05-18,693.93,701.28,693.92,695.75,54298790.0,100000000,-0.05315175544446425,1.6028685657715502
12,2017-05-19,696.66,701.88,695.53,701.76,55572400.0,100000000,0.8638160258713605,2.4666845916429105
13,2017-05-22,707.27,715.28,706.84,709.54,82326990.0,100000000,1.1086411308709492,3.5753257225138597
14,2017-05-23,711.96,713.7,708.11,708.11,60718620.0,100000000,-0.2015390252839798,3.37378669722988
15,2017-05-24,710.81,719.59,710.27,718.44,62876660.0,100000000,1.4588128963014277,4.832599593531308
16,2017-05-25,718.42,722.06,715.78,716.71,65549750.0,100000000,-0.24079951004955433,4.591800083481753
17,2017-05-26,716.24,719.36,716.07,718.79,48148160.0,100000000,0.2902150102551837,4.882015093736937
18,2017-05-29,723.27,725.2,721.92,722.6,63768530.0,100000000,0.5300574576719291,5.412072551408866
19,2017-05-30,722.82,723.54,712.2,712.36,66428310.0,100000000,-1.4171048989759216,3.994967652432945
20,2017-05-31,712.02,719.32,709.73,713.98,49716800.0,100000000,0.22741310573305695,4.222380758166002
21,2017-06-01,713.63,719.03,713.63,718.4,37291970.0,100000000,0.6190649598027899,4.841445717968792
22,2017-06-02,720.39,720.75,715.7,718.76,40371610.0,100000000,0.05011135857461215,4.891557076543404
23,2017-06-05,719.05,724.35,719.05,721.43,47928360.0,100000000,0.3714730925482719,5.263030169091676
24,2017-06-06,723.01,731.8,723.01,731.71,64594480.0,100000000,1.4249476733709558,6.687977842462632
25,2017-06-07,736.17,739.51,734.95,736.7,63822680.0,100000000,0.6819641661313921,7.369942008594024
26,2017-06-08,737.75,740.25,734.03,737.51,52851660.0,100000000,0.1099497760282266,7.479891784622251
27,2017-06-09,738.47,743.9,738.47,739.26,53701480.0,100000000,0.23728491817060107,7.717176702792852
28,2017-06-12,740.65,742.0,735.26,736.27,42979290.0,100000000,-0.40445851256662196,7.31271819022623
29,2017-06-13,737.03,740.27,734.53,739.56,46110170.0,100000000,0.44684694473494285,7.759565134961172
30,2017-06-14,744.42,748.04,743.67,744.55,64308120.0,100000000,0.6747255124668735,8.434290647428046
31,2017-06-15,746.87,750.71,744.58,746.83,60120080.0,100000000,0.30622523672017815,8.740515884148225
32,2017-06-16,751.5,751.5,748.08,749.87,43435170.0,100000000,0.40705381412101327,9.147569698269239
33,2017-06-19,754.03,756.51,753.36,756.49,62199340.0,100000000,0.8828196887460499,10.030389387015289
34,2017-06-20,759.73,761.04,756.77,759.51,55829960.0,100000000,0.39921215085460243,10.42960153786989
35,2017-06-21,758.49,759.43,749.47,756.27,65695600.0,100000000,-0.42659082829719286,10.003010709572697
36,2017-06-22,759.65,761.62,757.13,758.47,53943930.0,100000000,0.2909013976489938,10.293912107221692
37,2017-06-23,757.44,758.98,752.69,758.15,47103860.0,100000000,-0.042190198689473546,10.251721908532218
38,2017-06-26,759.9,762.27,757.98,759.45,45968600.0,100000000,0.17147002572051284,10.423191934252731
39,2017-06-27,761.96,761.96,754.23,755.15,61561340.0,100000000,-0.5661992231220051,9.856992711130726
40,2017-06-28,754.16,756.29,751.2,756.29,51006260.0,100000000,0.15096338475799329,10.00795609588872
41,2017-06-29,759.13,763.14,758.94,761.32,45735340.0,100000000,0.6650887886921798,10.673044884580898
42,2017-06-30,763.63,766.29,763.0,765.48,54568160.0,100000000,0.5464193768717448,11.219464261452643
43,2017-07-03,765.52,770.56,765.52,766.36,59165900.0,100000000,0.11496054763024446,11.334424809082888
44,2017-07-04,765.88,767.28,760.9,762.51,60462980.0,100000000,-0.5023748629886766,10.832049946094212
45,2017-07-05,764.91,765.5,761.28,765.15,46342830.0,100000000,0.3462249675414075,11.17827491363562
46,2017-07-06,768.8,771.13,768.37,769.96,61762060.0,100000000,0.6286349081879448,11.806909821823565
47,2017-07-07,771.89,771.98,763.11,763.54,65230230.0,100000000,-0.833809548547986,10.973100273275579
48,2017-07-10,761.69,761.69,748.06,750.17,62718560.0,100000000,-1.7510542997092495,9.22204597356633
49,2017-07-11,750.4,753.2,743.13,748.32,48406650.0,100000000,-0.24661076822585667,8.975435205340473
50,2017-07-12,756.08,758.72,752.27,757.3,46002040.0,100000000,1.2000213812272695,10.175456586567742
51,2017-07-13,759.8,759.99,755.81,759.08,43360690.0,100000000,0.23504555658260748,10.41050214315035
52,2017-07-14,762.77,764.53,759.01,759.7,43905280.0,100000000,0.08167782051957692,10.492179963669926
53,2017-07-17,758.53,758.74,741.66,744.3,63123360.0,100000000,-2.0271159668290233,8.465063996840904
54,2017-07-18,739.25,743.0,733.6,740.14,50661810.0,100000000,-0.5589144162300106,7.906149580610894
55,2017-07-19,745.44,745.73,738.28,738.28,41746650.0,100000000,-0.25130380738779334,7.654845773223101
56,2017-07-20,735.45,736.31,732.08,735.56,44866260.0,100000000,-0.3684239042097886,7.286421869013312
57,2017-07-21,737.37,739.48,729.63,730.3,37842420.0,100000000,-0.7151014193267703,6.571320449686541
58,2017-07-24,727.57,730.86,723.45,728.93,29170330.0,100000000,-0.1875941393947699,6.383726310291771
59,2017-07-25,727.79,735.72,727.79,735.72,33102190.0,100000000,0.9315023390449121,7.315228649336683
60,2017-07-26,739.68,745.84,736.34,745.02,41300830.0,100000000,1.2640678519001731,8.579296501236856
61,2017-07-27,744.5,747.08,741.96,744.34,32548170.0,100000000,-0.09127271751093259,8.488023783725923
62,2017-07-28,742.77,748.94,742.2,748.91,46123910.0,100000000,0.6139667356315577,9.10199051935748
63,2017-07-31,748.88,754.18,747.61,754.03,64484880.0,100000000,0.6836602529008832,9.785650772258364
64,2017-08-01,755.5,758.81,754.64,757.38,49402600.0,100000000,0.44427940532870347,10.229930177587068
65,2017-08-02,753.85,759.52,750.75,756.52,57263130.0,100000000,-0.11354934114975489,10.116380836437314
66,2017-08-03,755.7,761.17,755.7,757.75,53721810.0,100000000,0.16258658065880852,10.278967417096123
67,2017-08-04,757.79,761.43,757.79,760.69,41702390.0,100000000,0.38799076212471856,10.666958179220842
68,2017-08-07,762.13,766.12,761.2,763.59,39732360.0,100000000,0.3812328280902834,11.048191007311125
69,2017-08-08,764.7,764.7,757.47,759.49,40556740.0,100000000,-0.5369373616731522,10.511253645637973
70,2017-08-09,755.32,755.32,742.8,746.41,58976450.0,100000000,-1.7222083240069046,8.789045321631068
71,2017-08-10,737.72,745.34,737.72,742.17,36989010.0,100000000,-0.5680524108733818,8.220992910757687
72,2017-08-11,742.18,746.42,739.3,744.86,42415790.0,100000000,0.3624506514679999,8.583443562225687
73,2017-08-14,744.72,750.97,744.45,750.97,30622150.0,100000000,0.8202883763391797,9.403731938564867
74,2017-08-15,752.13,752.25,744.93,746.03,31680820.0,100000000,-0.6578158914470691,8.745916047117799
75,2017-08-16,746.07,748.71,741.57,748.31,40768900.0,100000000,0.30561773655214575,9.051533783669944
76,2017-08-17,749.35,750.58,743.51,743.51,42772440.0,100000000,-0.6414453902794237,8.41008839339052
77,2017-08-18,739.31,745.91,738.33,745.86,31675150.0,100000000,0.31606837836747625,8.726156771757996
78,2017-08-21,744.23,744.96,741.68,742.78,27393000.0,100000000,-0.41294612930041036,8.313210642457586
79,2017-08-22,743.86,743.86,736.88,738.6,28125430.0,100000000,-0.562750747192971,7.750459895264615
80,2017-08-23,739.46,741.99,736.71,741.65,24390540.0,100000000,0.41294340644461885,8.163403301709234
81,2017-08-24,743.23,749.82,742.34,748.87,31641160.0,100000000,0.973505022584781,9.136908324294016
82,2017-08-25,746.87,751.03,746.87,751.03,30408860.0,100000000,0.28843457475929973,9.425342899053316
83,2017-08-28,751.59,755.76,749.2,755.76,40440120.0,100000000,0.6298017389451843,10.0551446379985
84,2017-08-29,757.84,758.76,754.75,757.86,39143800.0,100000000,0.2778659892029246,10.333010627201425
85,2017-08-30,756.49,763.46,755.32,763.43,32265860.0,100000000,0.7349642414166121,11.067974868618037
86,2017-08-31,765.47,772.91,764.22,772.35,48342740.0,100000000,1.1684109872548987,12.236385855872935
87,2017-09-01,770.97,774.76,770.39,774.1,33211370.0,100000000,0.22658121318055285,12.462967069053489
88,2017-09-05,775.28,778.71,771.68,777.1,34727920.0,100000000,0.38754682857511946,12.850513897628609
89,2017-09-06,776.87,777.99,772.63,776.21,33630670.0,100000000,-0.11452837472654565,12.735985522902064
90,2017-09-07,777.16,780.54,776.0,777.63,39263060.0,100000000,0.18294018371316512,12.91892570661523
91,2017-09-08,780.62,786.85,780.18,785.34,33617080.0,100000000,0.9914740943636482,13.910399800978878
92,2017-09-11,785.06,789.53,780.46,780.57,35315640.0,100000000,-0.6073802429520948,13.303019558026783
93,2017-09-12,777.55,783.58,775.81,783.37,38223690.0,100000000,0.3587122231189969,13.66173178114578
94,2017-09-13,785.46,786.96,783.56,786.07,35251890.0,100000000,0.3446647178217248,14.006396498967506
95,2017-09-14,786.82,793.16,786.82,789.05,38700730.0,100000000,0.3791010978665901,14.385497596834096
96,2017-09-15,786.22,789.1,784.49,787.54,29605540.0,100000000,-0.19136936822761436,14.194128228606482
97,2017-09-18,792.16,795.32,789.83,793.44,42654230.0,100000000,0.7491682962135373,14.94329652482002
98,2017-09-19,794.15,797.54,793.52,794.3,39455360.0,100000000,0.10838878806209667,15.051685312882118
99,2017-09-20,793.93,793.98,789.43,790.41,31907880.0,100000000,-0.48973939317638004,14.561945919705737
100,2017-09-21,790.46,791.0,786.0,787.7,36047610.0,100000000,-0.34286003466554354,14.219085885040194
101,2017-09-22,786.51,791.65,785.99,788.14,35683770.0,100000000,0.05585882950361062,14.274944714543805
102,2017-09-25,789.81,791.16,785.69,790.08,33527500.0,100000000,0.2461491613165243,14.521093875860329
103,2017-09-26,791.03,791.03,785.24,789.65,42989940.0,100000000,-0.05442486836776828,14.46666900749256
104,2017-09-27,788.02,791.43,787.61,789.66,31477540.0,100000000,0.0012663838409410378,14.467935391333501
105,2017-09-28,788.15,795.95,788.15,791.21,41767360.0,100000000,0.19628700959907658,14.664222400932578
106,2017-09-29,791.4,797.26,791.4,794.46,31453910.0,100000000,0.4107632613339063,15.074985662266485
107,2017-10-02,793.64,796.03,790.37,790.88,26233420.0,100000000,-0.45062054728998824,14.624365114976497
108,2017-10-03,791.71,793.19,785.1,788.54,34176730.0,100000000,-0.29587295164880034,14.328492163327697
109,2017-10-04,786.17,794.48,786.12,794.38,25450740.0,100000000,0.7406092271793482,15.069101390507045
110,2017-10-05,797.41,801.36,796.71,797.7,45527270.0,100000000,0.4179360004028362,15.487037390909881
111,2017-10-06,797.82,800.73,796.23,800.25,32492830.0,100000000,0.3196690485144734,15.806706439424355
112,2017-10-09,802.89,803.23,798.96,800.73,68327820.0,100000000,0.059981255857546795,15.866687695281902
113,2017-10-10,798.97,804.26,798.97,804.26,31622930.0,100000000,0.44084772644961134,16.307535421731515
114,2017-10-11,804.84,810.12,804.48,805.5,48098400.0,100000000,0.15417899684181846,16.461714418573333
115,2017-10-12,807.63,813.21,806.65,810.0,57548370.0,100000000,0.5586592178770949,17.02037363645043
116,2017-10-13,807.9,813.99,807.45,813.35,32741320.0,100000000,0.4135802469135831,17.433953883364012
117,2017-10-16,815.27,817.72,811.39,813.77,40506450.0,100000000,0.05163828610068962,17.485592169464702
118,2017-10-17,811.73,816.73,811.24,815.85,44168680.0,100000000,0.25560047679320214,17.741192646257904
119,2017-10-18,819.36,821.29,815.06,815.06,50487680.0,100000000,-0.09683152540296344,17.644361120854942
120,2017-10-19,817.62,821.08,815.29,817.53,41798470.0,100000000,0.3030451745883772,17.94740629544332
121,2017-10-20,816.99,821.54,813.38,814.83,44526530.0,100000000,-0.33026310961064814,17.61714318583267
122,2017-10-23,811.49,813.23,806.58,806.82,39872250.0,100000000,-0.9830271344943106,16.63411605133836
123,2017-10-24,807.6,814.61,804.43,811.6,30143490.0,100000000,0.5924493691281788,17.22656542046654
124,2017-10-25,816.05,821.61,812.98,821.53,31486150.0,100000000,1.2235091177920094,18.450074538258548
125,2017-10-26,820.01,825.9,815.16,819.55,35220520.0,100000000,-0.24101371830608964,18.20906081995246
126,2017-10-27,823.16,830.22,820.16,830.22,31747200.0,100000000,1.3019339881642455,19.510994808116706
127,2017-10-30,835.33,841.32,835.33,837.15,47172200.0,100000000,0.834718508347179,20.345713316463886
128,2017-10-31,836.65,839.79,829.72,835.08,34971590.0,100000000,-0.24726751478228948,20.098445801681596
129,2017-11-01,832.1,835.44,831.63,834.24,43494760.0,100000000,-0.1005891651099334,19.99785663657166
130,2017-11-02,835.36,843.34,826.8,826.8,43849170.0,100000000,-0.8918296892980503,19.106026947273612
131,2017-11-03,828.44,838.99,826.59,838.99,36522500.0,100000000,1.4743589743589811,20.580385921632594
132,2017-11-06,842.91,845.67,839.88,845.4,47197740.0,100000000,0.7640138738244756,21.34439979545707
133,2017-11-07,846.17,850.69,842.67,845.71,46114740.0,100000000,0.03666903241070016,21.381068827867768
134,2017-11-08,849.56,856.47,848.23,856.33,55024400.0,100000000,1.2557496068392242,22.636818434706992
135,2017-11-09,857.26,858.93,852.06,853.91,45658180.0,100000000,-0.2826013335980373,22.354217101108954
136,2017-11-10,850.25,861.36,850.1,858.2,54472420.0,100000000,0.5023948659694907,22.856611967078447
137,2017-11-13,861.0,868.58,861.0,868.58,50886070.0,100000000,1.2095082731298061,24.066120240208253
138,2017-11-14,868.59,873.74,861.96,869.94,52682510.0,100000000,0.1565774021966904,24.222697642404942
139,2017-11-15,870.85,880.58,868.75,880.54,49917160.0,100000000,1.2184748373450938,25.441172479750037
140,2017-11-16,875.2,887.14,875.2,885.73,54004370.0,100000000,0.5894110432234827,26.03058352297352
141,2017-11-17,890.49,897.39,882.81,885.31,49931580.0,100000000,-0.04741851354250988,25.98316500943101
142,2017-11-20,886.49,899.15,883.7,898.71,42859210.0,100000000,1.5135941082784665,27.496759117709473
143,2017-11-21,902.76,923.57,902.76,910.92,69562970.0,100000000,1.3586140134192257,28.855373131128697
144,2017-11-22,912.46,921.24,909.95,919.23,65689790.0,100000000,0.9122645237781649,29.767637654906864
145,2017-11-23,926.83,933.45,916.61,923.84,65355440.0,100000000,0.5015066958215042,30.269144350728368
146,2017-11-24,920.32,928.41,914.95,925.95,54731110.0,100000000,0.228394527190857,30.497538877919226
147,2017-11-27,923.8,939.36,923.0,932.35,57987110.0,100000000,0.6911820292672366,31.18872090718646
148,2017-11-28,931.21,935.97,926.12,929.3,50969510.0,100000000,-0.32713036949644103,30.86159053769002
149,2017-11-29,938.18,944.98,934.64,944.98,60790660.0,100000000,1.68729150973852,32.54888204742854
150,2017-11-30,951.06,955.17,946.31,948.58,64551030.0,100000000,0.3809604436072745,32.929842491035814
151,2017-12-01,943.08,953.22,943.08,951.25,46208910.0,100000000,0.281473360180476,33.21131585121629
152,2017-12-04,954.31,968.53,954.31,967.45,72140640.0,100000000,1.7030223390276,34.91433819024389
153,2017-12-05,968.58,970.35,947.76,947.76,73343600.0,100000000,-2.035247299602052,32.879090890641834
154,2017-12-06,940.82,941.32,919.99,927.6,70696890.0,100000000,-2.127120790073433,30.7519701005684
155,2017-12-07,942.07,945.52,923.23,929.92,46122460.0,100000000,0.2501078050883933,31.002077905656794
156,2017-12-08,928.32,935.51,920.97,931.39,40168440.0,100000000,0.15807811424638973,31.160156019903184
157,2017-12-11,928.39,928.39,916.41,917.39,41067520.0,100000000,-1.5031297308324119,29.65702628907077
158,2017-12-12,919.04,922.24,883.52,911.5,70858330.0,100000000,-0.6420388275433552,29.014987461527415
